Timestamp,CPU Usage (%)
1731696384.9355934,70.4
1731696385.1368659,70.7
1731696385.338304,93.8
1731696385.5414884,72.2
1731696385.7448826,74.7
1731696385.94818,57.3
1731696386.1508405,70.4
1731696386.3532717,83.5
1731696386.5555203,70.1
1731696386.7569902,62.5
